bigram,a,b,n
open plan,open,plan,4135
sunshine coast,sunshine,coast,3724
air conditioning,air,conditioning,2837
plan living,plan,living,2365
ceiling fans,ceiling,fans,2223
living area,living,area,2216
living areas,living,areas,2213
master bedroom,master,bedroom,2077
family home,family,home,1905
fully fenced,fully,fenced,1750
low maintenance,low,maintenance,1622
cul de,cul,de,1475
de sac,de,sac,1419
walking distance,walking,distance,1253
easy access,easy,access,1245
minute drive,minute,drive,1202
high ceilings,high,ceilings,1189
main bathroom,main,bathroom,1070
timber floors,timber,floors,1025
double lock,double,lock,1012
media room,media,room,1012
entertaining area,entertaining,area,1002
dining area,dining,area,977
side access,side,access,963
air conditioned,air,conditioned,952
hot water,hot,water,910
double garage,double,garage,888
short drive,short,drive,873
stainless steel,stainless,steel,869
outdoor entertaining,outdoor,entertaining,846
north facing,north,facing,821
10 minutes,10,minutes,819
master suite,master,suite,792
15 minutes,15,minutes,790
easy care,easy,care,785
minutes drive,minutes,drive,783
fruit trees,fruit,trees,780
family friendly,family,friendly,768
natural light,natural,light,755
split system,split,system,750
quiet cul,quiet,cul,732
main bedroom,main,bedroom,727
4 bedrooms,4,bedrooms,723
garden shed,garden,shed,720
dual living,dual,living,704
bruce highway,bruce,highway,699
20 minutes,20,minutes,695
3 bedrooms,3,bedrooms,694
ducted air,ducted,air,690
features include,features,include,690
separate living,separate,living,684
living dining,living,dining,682
system air,system,air,670
home offers,home,offers,669
separate toilet,separate,toilet,668
swimming pool,swimming,pool,649
gas cooktop,gas,cooktop,642
bench tops,bench,tops,635
primary school,primary,school,615
light filled,light,filled,606
dream home,dream,home,598
solar power,solar,power,598
steel appliances,steel,appliances,598
entertainment area,entertainment,area,597
stone bench,stone,bench,595
modern kitchen,modern,kitchen,591
main living,main,living,584
outdoor living,outdoor,living,583
bli bli,bli,bli,578
built ins,built,ins,578
water tanks,water,tanks,577
2 bathrooms,2,bathrooms,575
plan kitchen,plan,kitchen,575
floor plan,floor,plan,573
sized bedrooms,sized,bedrooms,565
security screens,security,screens,564
separate laundry,separate,laundry,562
single level,single,level,556
solar hot,solar,hot,552
year round,year,round,540
water tank,water,tank,535
bedroom home,bedroom,home,532
home office,home,office,530
stone benchtops,stone,benchtops,527
breakfast bar,breakfast,bar,526
living room,living,room,525
train station,train,station,521
bedrooms 2,bedrooms,2,518
internal access,internal,access,517
information contained,information,contained,516
town centre,town,centre,515
dining room,dining,room,510
5 minutes,5,minutes,502
living space,living,space,498
coast airport,coast,airport,491
4 bedroom,4,bedroom,478
short walk,short,walk,471
large bedrooms,large,bedrooms,467
3 bedroom,3,bedroom,461
solar system,solar,system,461
