quigram,a,b,c,d,n
quiet cul de sac,quiet,cul,de,sac,701
split system air conditioning,split,system,air,conditioning,431
open plan living area,open,plan,living,area,371
open plan living dining,open,plan,living,dining,364
air conditioning ceiling fans,air,conditioning,ceiling,fans,269
spacious open plan living,spacious,open,plan,living,225
large open plan living,large,open,plan,living,197
reverse cycle air conditioning,reverse,cycle,air,conditioning,197
open plan kitchen dining,open,plan,kitchen,dining,196
4 bedrooms 2 bathrooms,4,bedrooms,2,bathrooms,193
open plan lounge dining,open,plan,lounge,dining,133
3 bedrooms 2 bathrooms,3,bedrooms,2,bathrooms,108
open plan kitchen living,open,plan,kitchen,living,105
open plan living areas,open,plan,living,areas,101
solar hot water system,solar,hot,water,system,99
air conditioned living area,air,conditioned,living,area,94
cul de sac location,cul,de,sac,location,93
covered outdoor entertaining area,covered,outdoor,entertaining,area,92
palmwoodsamber werchon property presents,palmwoodsamber,werchon,property,presents,92
3 bedroom 2 bathroom,3,bedroom,2,bathroom,91
bedroom 2 bathroom home,bedroom,2,bathroom,home,89
4 bedroom 2 bathroom,4,bedroom,2,bathroom,87
air conditioned open plan,air,conditioned,open,plan,86
disclaimer:the information statements views,disclaimer:the,information,statements,views,84
century 21 living local,century,21,living,local,83
low body corporate fees,low,body,corporate,fees,82
split system air conditioners,split,system,air,conditioners,82
sunshine coast grammar school,sunshine,coast,grammar,school,81
kitchen open plan living,kitchen,open,plan,living,78
system air conditioning ceiling,system,air,conditioning,ceiling,76
seller property lane realty,seller,property,lane,realty,75
2 separate living areas,2,separate,living,areas,73
open plan living kitchen,open,plan,living,kitchen,71
bathrooms open plan living,bathrooms,open,plan,living,69
open plan living space,open,plan,living,space,68
open plan air conditioned,open,plan,air,conditioned,66
ricks garage palmwoods hotel,ricks,garage,palmwoods,hotel,66
famous ricks garage palmwoods,famous,ricks,garage,palmwoods,64
rapidly growing town centre,rapidly,growing,town,centre,63
sunshine coast university hospital,sunshine,coast,university,hospital,63
71 premium lifestyle lots,71,premium,lifestyle,lots,62
centre offering easy access,centre,offering,easy,access,62
garage palmwoods hotel cafes,garage,palmwoods,hotel,cafes,62
growing town centre offering,growing,town,centre,offering,62
premium palmwoods land read,premium,palmwoods,land,read,62
town centre offering easy,town,centre,offering,easy,62
ceiling fans security screens,ceiling,fans,security,screens,59
palmwoods real lifestyle blockslot,palmwoods,real,lifestyle,blockslot,59
pines palmwoods real lifestyle,pines,palmwoods,real,lifestyle,59
stainless steel appliances gas,stainless,steel,appliances,gas,59
stainless steel appliances including,stainless,steel,appliances,including,59
bedrooms 2 bathrooms 2,bedrooms,2,bathrooms,2,58
conditioned open plan living,conditioned,open,plan,living,55
friendly cul de sac,friendly,cul,de,sac,55
fully fenced back yard,fully,fenced,back,yard,55
cul de sac position,cul,de,sac,position,53
plan living dining area,plan,living,dining,area,53
private cul de sac,private,cul,de,sac,53
split system air conditioner,split,system,air,conditioner,53
covered outdoor entertainment area,covered,outdoor,entertainment,area,52
light filled open plan,light,filled,open,plan,52
kitchen stainless steel appliances,kitchen,stainless,steel,appliances,49
4 bed 2 bath,4,bed,2,bath,48
leafy cul de sac,leafy,cul,de,sac,48
living areas central kitchen,living,areas,central,kitchen,48
riddell real estate woombye,riddell,real,estate,woombye,48
ducted air conditioning ceiling,ducted,air,conditioning,ceiling,47
4 bedroom family home,4,bedroom,family,home,45
ceiling fans air conditioning,ceiling,fans,air,conditioning,44
ducted reverse cycle air,ducted,reverse,cycle,air,44
expansive open plan living,expansive,open,plan,living,44
family friendly cul de,family,friendly,cul,de,44
quality stainless steel appliances,quality,stainless,steel,appliances,44
timber floors high ceilings,timber,floors,high,ceilings,44
3 bedrooms 1 bathroom,3,bedrooms,1,bathroom,43
3 good sized bedrooms,3,good,sized,bedrooms,43
include split system air,include,split,system,air,43
plan air conditioned living,plan,air,conditioned,living,43
steel appliances gas cooktop,steel,appliances,gas,cooktop,43
caesar stone bench tops,caesar,stone,bench,tops,42
college nambour christian college,college,nambour,christian,college,42
matthew flinders anglican college,matthew,flinders,anglican,college,42
separate living areas central,separate,living,areas,central,42
large open plan kitchen,large,open,plan,kitchen,41
reverse cycle air conditioner,reverse,cycle,air,conditioner,41
daikin inverter airconditioner split,daikin,inverter,airconditioner,split,40
inverter airconditioner split system,inverter,airconditioner,split,system,40
plan living dining kitchen,plan,living,dining,kitchen,40
2 bathrooms 2 living,2,bathrooms,2,living,39
filled open plan living,filled,open,plan,living,39
good samaritan catholic college,good,samaritan,catholic,college,39
quiet leafy cul de,quiet,leafy,cul,de,39
4 bedrooms 3 bathrooms,4,bedrooms,3,bathrooms,38
marketing tm estate agents,marketing,tm,estate,agents,38
open 7 days including,open,7,days,including,38
seamless indoor outdoor living,seamless,indoor,outdoor,living,38
sunshine coast university schools,sunshine,coast,university,schools,38
system solar hot water,system,solar,hot,water,38
2 bathrooms open plan,2,bathrooms,open,plan,37
good samaritan prep 12,good,samaritan,prep,12,37
