trigram,a,b,c,n
open plan living,open,plan,living,2323
cul de sac,cul,de,sac,1406
quiet cul de,quiet,cul,de,724
split system air,split,system,air,614
ducted air conditioning,ducted,air,conditioning,587
stainless steel appliances,stainless,steel,appliances,583
open plan kitchen,open,plan,kitchen,562
solar hot water,solar,hot,water,515
stone bench tops,stone,bench,tops,483
system air conditioning,system,air,conditioning,476
sunshine coast airport,sunshine,coast,airport,474
separate living areas,separate,living,areas,466
outdoor entertaining area,outdoor,entertaining,area,442
bedrooms 2 bathrooms,bedrooms,2,bathrooms,374
plan living area,plan,living,area,372
plan living dining,plan,living,dining,368
sunshine coast university,sunshine,coast,university,366
large open plan,large,open,plan,325
spacious open plan,spacious,open,plan,311
reverse cycle air,reverse,cycle,air,290
air conditioning ceiling,air,conditioning,ceiling,288
polished timber floors,polished,timber,floors,287
werchon property presents,werchon,property,presents,282
conditioning ceiling fans,conditioning,ceiling,fans,270
main living area,main,living,area,266
outdoor entertainment area,outdoor,entertainment,area,255
sunshine coast hinterland,sunshine,coast,hinterland,254
open plan lounge,open,plan,lounge,232
4 bedrooms 2,4,bedrooms,2,225
hot water system,hot,water,system,224
air conditioned living,air,conditioned,living,219
information statements views,information,statements,views,218
good sized bedrooms,good,sized,bedrooms,217
cycle air conditioning,cycle,air,conditioning,211
fully fenced yard,fully,fenced,yard,206
low maintenance gardens,low,maintenance,gardens,204
sunshine coast beaches,sunshine,coast,beaches,201
plan kitchen dining,plan,kitchen,dining,200
body corporate fees,body,corporate,fees,197
north east facing,north,east,facing,192
bedroom 2 bathroom,bedroom,2,bathroom,191
nambour christian college,nambour,christian,college,188
open plan design,open,plan,design,185
3 phase power,3,phase,power,181
hardwood timber floors,hardwood,timber,floors,170
indoor outdoor living,indoor,outdoor,living,170
generous sized bedrooms,generous,sized,bedrooms,169
separate media room,separate,media,room,168
10 minute drive,10,minute,drive,165
gas hot water,gas,hot,water,164
gas cook top,gas,cook,top,162
4 bedroom home,4,bedroom,home,161
riddell real estate,riddell,real,estate,161
15 minute drive,15,minute,drive,145
year round comfort,year,round,comfort,144
covered outdoor entertaining,covered,outdoor,entertaining,140
living dining area,living,dining,area,137
20 minute drive,20,minute,drive,136
3 bedrooms 2,3,bedrooms,2,136
plan lounge dining,plan,lounge,dining,135
2 living areas,2,living,areas,134
glass sliding doors,glass,sliding,doors,132
good size bedrooms,good,size,bedrooms,131
single level home,single,level,home,129
sunshine coast grammar,sunshine,coast,grammar,129
multiple living areas,multiple,living,areas,126
suncoast christian college,suncoast,christian,college,126
low maintenance living,low,maintenance,living,125
marketing material website,marketing,material,website,123
5 minute drive,5,minute,drive,122
10 minutes drive,10,minutes,drive,119
local primary school,local,primary,school,119
high raked ceilings,high,raked,ceilings,117
low body corporate,low,body,corporate,117
alfresco entertaining area,alfresco,entertaining,area,115
family friendly living,family,friendly,living,115
resort style pool,resort,style,pool,115
quick easy access,quick,easy,access,113
3 bedroom home,3,bedroom,home,111
beautiful sunshine coast,beautiful,sunshine,coast,110
open plan dining,open,plan,dining,108
gated side access,gated,side,access,107
plan kitchen living,plan,kitchen,living,107
3 bedroom 2,3,bedroom,2,106
easy care living,easy,care,living,106
salt water pool,salt,water,pool,106
spacious family home,spacious,family,home,105
3 bay shed,3,bay,shed,103
home based business,home,based,business,103
plan living areas,plan,living,areas,103
4 large bedrooms,4,large,bedrooms,101
established fruit trees,established,fruit,trees,101
galley style kitchen,galley,style,kitchen,101
robes ceiling fans,robes,ceiling,fans,101
2 bathroom home,2,bathroom,home,100
double remote garage,double,remote,garage,100
sunshine coast lifestyle,sunshine,coast,lifestyle,100
4 bedroom 2,4,bedroom,2,97
3 large bedrooms,3,large,bedrooms,96
low maintenance home,low,maintenance,home,96
